Categoria,Nombre_Producto,Descripcion,Precio_Mayorista,Tamano_Bulto,URL_Imagen,Precio_Minorista,Stock
Aceites,Aceite de Girasol Finca el lazo x 850 cc.,Aceite de Girasol Finca el lazo x 850 cc.,2550.00,12,https://davelcor.com.ar/wp-content/uploads/Aceite-de-Girasol-Finca-el-lazo-x-900cc-240x240.jpg,,100
Aceites,Aceite Girasol Cañuelas x 1.5 Lt.,Aceite Girasol Cañuelas x 1.5 Lt.,5870.00,12,https://davelcor.com.ar/wp-content/uploads/2021/05/Aceite-Girasol-Canuelas-x-1.5-Lt--240x240.jpg,,100
Aceites,Aceite Girasol Cañuelas x 900 cc.,Aceite Girasol Cañuelas x 900 cc.,3520.00,12,https://davelcor.com.ar/wp-content/uploads/2021/05/Aceite-Girasol-Canuelas-x-900-cc-240x240.jpg,,100
Aceites,Aceite Oliva La posta del olivo x 250 cc.,Aceite Oliva La posta del olivo x 250 cc.,6500.00,6,https://davelcor.com.ar/wp-content/uploads/2021/05/Aceite-Oliva-Posta-de-olivo-x-250-cc-240x240.jpg,,100
Aceites,Aceite Oliva La Posta del olivo x 500 cc.,Aceite Oliva La Posta del olivo x 500 cc.,11620.00,6,https://davelcor.com.ar/wp-content/uploads/2021/05/Aceite-Oliva-Posta-de-olivo-x-500-cc-240x240.jpg,,100
Aderezos y Condimentos,Aceitunas Verdes Bordi (frasco) x 330 gr.,Aceitunas Verdes Bordi (frasco) x 330 gr.,2900.00,12,https://davelcor.com.ar/wp-content/uploads/2021/08/Aceitunas-Verdes-Bordi-frasco-x-330-gr-240x240.jpg,,100
Higiene Personal,Acondicionador Plusbelle x 1 Lt.,Acondicionador Plusbelle x 1 Lt.,2875.00,12,https://davelcor.com.ar/wp-content/uploads/Acondicionador-Plusbelle-x-1-Lt-240x240.jpg,,100
Higiene Personal,Acondicionador Sedal – Balance x 190 cc.,Acondicionador Sedal – Balance x 190 cc.,2700.00,12,https://davelcor.com.ar/wp-content/uploads/2021/07/Acondicionador-Sedal-Balance-x-190-cc-240x240.jpg,,100
Higiene Personal,Acondicionador Sedal – Ceramidas x 190 cc.,Acondicionador Sedal – Ceramidas x 190 cc.,2700.00,12,https://davelcor.com.ar/wp-content/uploads/2021/07/Acondicionador-Sedal-Ceramidas-x-190-Unid-240x240.jpg,,100
Higiene Personal,Acondicionador Sedal – Colageno x 190 cc.,Acondicionador Sedal – Colageno x 190 cc.,2700.00,12,https://davelcor.com.ar/wp-content/uploads/Acondicionador-Sedal-Colageno-x-190-cc-240x240.jpg,,100
Higiene Personal,Acondicionador Sedal – Hialuronico x 190 cc.,Acondicionador Sedal – Hialuronico x 190 cc.,2700.00,12,https://davelcor.com.ar/wp-content/uploads/Acondicionador-Sedal-Hialuronico-x-190-cc-240x240.jpg,,100
Higiene Personal,Acondicionador Sedal – Liso perfecto x 190 cc.,Acondicionador Sedal – Liso perfecto x 190 cc.,2700.00,12,https://davelcor.com.ar/wp-content/uploads/Acondicionador-Sedal-Liso-perfecto-x-190-cc-240x240.jpg,,100
Higiene Personal,Acondicionador Sedal x 10 ml. – Ceramidas,Acondicionador Sedal x 10 ml. – Ceramidas,260.00,144,https://davelcor.com.ar/wp-content/uploads/Acondicionado-Sedal-x-10-ml.-Ceramidas-240x240.jpg,,100
Bebidas sin alcohol,Agua Mineral Sierra de los Padres x 600 cc,Agua Mineral Sierra de los Padres x 600 cc,480.00,12,https://davelcor.com.ar/wp-content/uploads/Agua-Mineral-Sierra-de-los-Padres-x-500-cc-240x240.png,,100
Bebidas sin alcohol,Agua Mineral Sierra del Norte (bidon) x 6 Lt.,Agua Mineral Sierra del Norte (bidon) x 6 Lt.,1590.00,1,https://davelcor.com.ar/wp-content/uploads/Agua-de-mesa-Sierra-del-Norte-bidon-x-6-Lt-240x240.jpg,,100
Agua Saborizadas,Agua Sierra de los Padres x 1.5 Lt. – Manzana,Agua Sierra de los Padres x 1.5 Lt. – Manzana,1150.00,6,https://davelcor.com.ar/wp-content/uploads/Agua-Sierras-de-los-Padres-x-1.5-Lt.-Manzana-240x240.jpg,,100
Agua Saborizadas,Agua Sierra de los Padres x 1.5 Lt. – Naranja,Agua Sierra de los Padres x 1.5 Lt. – Naranja,1150.00,6,https://davelcor.com.ar/wp-content/uploads/Agua-Sierras-de-los-Padres-x-1.5-Lt.-Naranja-240x240.jpg,,100
Agua Saborizadas,Agua Sierra de los Padres x 1.5 Lt. – Pomelo,Agua Sierra de los Padres x 1.5 Lt. – Pomelo,1150.00,6,https://davelcor.com.ar/wp-content/uploads/Agua-Sierras-de-los-Padres-x-1.5-Lt.-Pomelo-240x240.jpg,,100
Agua Saborizadas,Agua Sierra de los Padres x 1.5 Lt. – Pomelo Rosado,Agua Sierra de los Padres x 1.5 Lt. – Pomelo Rosado,1150.00,6,https://davelcor.com.ar/wp-content/uploads/Agua-Sierras-de-los-Padres-x-1.5-Lt.-Pomelo-Rosado-240x240.jpg,,100
Agua Saborizadas,Agua Vida x 1.5 Lt. – Manzana,Agua Vida x 1.5 Lt. – Manzana,1300.00,6,https://davelcor.com.ar/wp-content/uploads/2021/05/Agua-Vida-x-1.5-Lt.-Manzana--240x240.jpg,,100
Agua Saborizadas,Agua Vida x 1.5 Lt. – MixFrutal,Agua Vida x 1.5 Lt. – MixFrutal,1300.00,6,https://davelcor.com.ar/wp-content/uploads/2021/05/Agua-Vida-x-1.5-Lt.-MixFrutal-1-1-240x240.jpg,,100
Agua Saborizadas,Agua Vida x 1.5 Lt. – Naranja,Agua Vida x 1.5 Lt. – Naranja,1300.00,6,https://davelcor.com.ar/wp-content/uploads/2021/05/Agua-Vida-x-1.5-Lt.-Naranja-240x240.jpg,,100
Aderezos y Condimentos Velez,Aji molido Velez x 25 gr.,Aji molido Velez x 25 gr.,530.00,10,https://davelcor.com.ar/wp-content/uploads/2021/05/Aji-molido-Velez-x-25-gr-240x240.jpg,,100
Aderezos y Condimentos Velez,Ajo Desh. Velez x 25 gr.,Ajo Desh. Velez x 25 gr.,630.00,10,https://davelcor.com.ar/wp-content/uploads/2021/05/Ajo-Desh.-Velez-x-25-gr-240x240.jpg,,100
Aderezos y Condimentos Velez,Albahaca Velez x 25 gr.,Albahaca Velez x 25 gr.,395.00,10,https://davelcor.com.ar/wp-content/uploads/Albahaca-Velez-x-25-gr-240x240.jpg,,100
Limpieza y Desinfección,Alcohol desnaturalizado Frau x 1 Lt.,Alcohol desnaturalizado Frau x 1 Lt.,2646.00,8,https://davelcor.com.ar/wp-content/uploads/Alcohol-desnaturalizado-Frau-x-1-Lt-240x240.jpg,,100
Limpieza y Desinfección,Alcohol Etilico Frau x 250 cc.,Alcohol Etilico Frau x 250 cc.,903.00,10,https://davelcor.com.ar/wp-content/uploads/Alcohol-Etilico-Frau-x-250-cc-240x240.jpg,,100
Alfajores,Alfajor Cofler Block triple x 60 gr.,Alfajor Cofler Block triple x 60 gr.,1370.00,21,https://davelcor.com.ar/wp-content/uploads/Alfajor-Cofler-Block-triple-x-60-gr-240x240.jpg,,100
Alfajores,Alfajor Fantoche triple Blanco x 85 gr.,Alfajor Fantoche triple Blanco x 85 gr.,875.00,12,https://davelcor.com.ar/wp-content/uploads/Alfajor-Fantoche-triple-Blanco-x-72-gr--240x240.jpg,,100
Alfajores,Alfajor Fantoche triple Negro x 85 gr.,Alfajor Fantoche triple Negro x 85 gr.,875.00,12,https://davelcor.com.ar/wp-content/uploads/Alfajor-Fantoche-triple-Negro-x-72-gr--240x240.jpg,,100
Alfajores,Alfajor Fulbito Black x 30 gr.,Alfajor Fulbito Black x 30 gr.,195.00,40,https://davelcor.com.ar/wp-content/uploads/Alfajor-Fulbito-Black-x-30-gr-240x240.jpg,,100
Alfajores,Alfajor Fulbito de Chocolate x 30 gr.,Alfajor Fulbito de Chocolate x 30 gr.,195.00,40,https://davelcor.com.ar/wp-content/uploads/2021/05/Alfajor-Fulbito-de-Chocolate-x-30-gr-240x240.jpg,,100
Alfajores,Alfajor Fulbito Mani x 30 gr.,Alfajor Fulbito Mani x 30 gr.,195.00,40,https://davelcor.com.ar/wp-content/uploads/2021/05/Alfajor-Fulbito-Mani-x-30-gr-240x240.jpg,,100
Alfajores,Alfajor Genio Negro triple x 60 gr.,Alfajor Genio Negro triple x 60 gr.,370.00,24,https://davelcor.com.ar/wp-content/uploads/2021/05/Alfajor-Genio-Negro-triple-x-60-gr-240x240.jpg,,100
Alfajores,Alfajor MOGY Blanco x 38 gr.,Alfajor MOGY Blanco x 38 gr.,285.00,40,https://davelcor.com.ar/wp-content/uploads/2021/05/Alfajor-Mogy-Blanco-38-gr-240x240.jpg,,100
Alfajores,Alfajor MOGY negro x 38 gr.,Alfajor MOGY negro x 38 gr.,285.00,40,https://davelcor.com.ar/wp-content/uploads/2021/05/Alfajor-Mogy-Negro-38-gr-240x240.jpg,,100
Alfajores,Alfajor Nevares x 45 gr. – Blanco,Alfajor Nevares x 45 gr. – Blanco,295.00,40,https://davelcor.com.ar/wp-content/uploads/2021/05/Alfajores-Blanco-Nevares-x-45-gr-240x240.jpg,,100
Alfajores,Alfajor Nevares x 45 gr. – Negro,Alfajor Nevares x 45 gr. – Negro,295.00,40,https://davelcor.com.ar/wp-content/uploads/2021/05/Alfajores-Negro-Nevares-x-45-gr-240x240.jpg,,100
Alfajores,Alfajor Pamela x 35 gr. – Blanco,Alfajor Pamela x 35 gr. – Blanco,315.00,36,https://davelcor.com.ar/wp-content/uploads/Alfajor-Pamela-x-35-gr.-Blanco-240x240.jpg,,100
Alfajores,Alfajor Pamela x 35 gr. – Negro,Alfajor Pamela x 35 gr. – Negro,315.00,36,https://davelcor.com.ar/wp-content/uploads/Alfajor-Pamela-x-35-gr-240x240.jpg,,100
Alfajores,Alfajor Rasta Blanco x 70 gr.,Alfajor Rasta Blanco x 70 gr.,1100.00,18,https://davelcor.com.ar/wp-content/uploads/Alfajor-Rasta-Blanco-x-70-gr-copia-240x240.jpg,,100
Alfajores,Alfajor Rasta Negro x 70 gr.,Alfajor Rasta Negro x 70 gr.,1100.00,18,https://davelcor.com.ar/wp-content/uploads/Alfajor-Rasta-Negro-x-70-gr-copia-240x240.jpg,,100
Alfajores,Alfajor Rasta Trico x 100 gr.,Alfajor Rasta Trico x 100 gr.,1590.00,14,https://davelcor.com.ar/wp-content/uploads/Alfajor-Rasta-Trico-x-100-gr-240x240.jpg,,100
Alfajores,Alfajor Smack x 60 gr. – Negro,Alfajor Smack x 60 gr. – Negro,310.00,24,https://davelcor.com.ar/wp-content/uploads/Alfajor-Smack-x-60-gr-240x240.jpg,,100
